"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4448","Navigate to form page @smoke","chromium","2025-09-17","passed","2025-09-17","","tests/usePageObject.spec.ts","",""
"","3094","Parameterized method","chromium","2025-09-17","passed","2025-09-17","","tests/usePageObject.spec.ts","",""
